Qualification_level,Awarding_institution,"Qualification Name",Qualification_Code,Date_Awarded,Where_Qualification_is_approved,Awarding_Institution_Country,Important_Information
Diploma,"Australian Professional Training Institute","Diploma of Children's Services (Centre-based/Home-based/Family Day Care)",,"Any date before 1 January 2017",National,Australia,
ECT,"Australian School of Business","Graduate Diploma of Early Childhood Education",GDipECE,"Any date if enrolled prior to April 2030",National,Australia,"ACECQA assessed and approved this qualification on 3 March 2025.The Australian School of Business is also known as the Australian School of Business Pty Ltd and the Australis Business School. "
ECT,"Australian School of Business","Master of Teaching (Early Childhood Education)",MTeachECE,"Any date if enrolled prior to April 2031",National,Australia,"ACECQA assessed and approved this qualification on 14 April 2026.The Australian School of Business is also known as the Australian School of Business Pty Ltd and the Australis Business School. "
"Certificate III","Avalon Training Centre","NVQ Child Care and Education (Work in Support of Others) Level 2",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Avondale University","Bachelor of Education (Early Childhood) (Honours)",4796,"Any date if enrolled prior to 1 January 2017",National,Australia,"Avondale University was formally known as Avondale University College and Avondale College"
ECT,"Avondale University","Bachelor of Education (Early Childhood Birth - 5 years)",4770,"Any date if enrolled prior to March 2030",National,Australia,"ACECQA reassessed and reapproved this program on 6 February 2025.Avondale University was formally known as Avondale University College and Avondale College "
ECT,"Avondale University","Bachelor of Education (Early Childhood)",4795,"Any date if enrolled prior to 1 January 2017",National,Australia,"Avondale University was formally known as Avondale University College and Avondale College"
ECT,"Avondale University","Bachelor of Education Early Childhood/Primary (Birth - 12 years)",4772,"Any date if enrolled prior to September 2019",National,Australia,"ACECQA assessed and approved this program on 23 September 2014.

Avondale University was formally known as Avondale University College and Avondale College"
ECT,"Avondale University","Bachelor of Education Early Childhood/Primary (Honours) (Birth - 12 years)",4773,"Any date if enrolled prior to September 2019",National,Australia,"ACECQA assessed and approved this program on 23 September 2014.

Avondale University was formally known as Avondale University College and Avondale College"
ECT,"Avondale University","Bachelor of Arts/Bachelor of Teaching (Birth - 12 years)",4210,"Any date if enrolled prior to July 2021",National,Australia,"ACECQA assessed and approved this program on 6 January 2016.

Avondale University was formally known as Avondale University College and Avondale College"
ECT,"Avondale University","Bachelor of Arts / Bachelor of Teaching (Birth – 12 Years)",4210,"Any date if enrolled prior to July 2026",National,Australia,"ACECQA reassessed and approved this program on 10 June 2021

Avondale University College was formerly known by a different name: Avondale College"
Diploma,"Baekseok College of Cultural Studies","Certificate of Graduation in Early Childhood Education",,"Any date before 1 January 2012",Queensland,"South Korea","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Barton Business School","Graduate Diploma of Early Childhood Education",GDECE,"Any date if enrolled prior to July 2030",National,Australia,"ACECQA assessed and approved this qualification on 15 July 2025.This institute is also known as BBS Higher Education Pty Ltd."
ECT,"Barton Business School","Master of Teaching (Early Childhood Education)",MTeach(ECE),"Any date if enrolled prior to July 2030",National,Australia,"ACECQA assessed and approved this qualification on 15 July 2025.This institute is also known as BBS Higher Education Pty Ltd."
ECT,"Batchelor College","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Batchelor Institute of Indigenous Tertiary Education","Advanced Diploma of Education (Early Childhood)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Batchelor Institute of Indigenous Tertiary Education","Advanced Diploma of Teaching (Early Childhood)",,"Any date before 1 January 2012",National,Australia,
Diploma,"Batchelor Institute of Indigenous Tertiary Education","Diploma of Teaching (Early Childhood)",,"Any date before 1 January 2017",National,Australia,
ECT,"Bayside Community College of TAFE","Associate Diploma of Education (Child Care)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Beijing Normal School for Preschool Education Staff","Diploma in Preschool Education",,"Any date before 1 January 2012",Queensland,China,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Beirut University College (now known as Lebanese American University)","Bachelor of Arts Early Childhood Education",,"Any date before 1 January 2012",Queensland,Lebanon,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Bendigo Teachers' College","Trained Infant Teachers' Certificate",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Bethlehem Teachers College","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Bond University","Bachelor of Children's Services",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Bond University","Bachelor of Health Sciences (Child Care)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Box Hill Institute","Bachelor of Early Childhood (Education and Care)",BECEC,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Box Hill Institute","Graduate Diploma in Early Childhood Teaching",GDECT,"Any date if enrolled prior to June 2023",National,Australia,"ACECQA reassessed and reapproved this qualification on 14 May 2018."
ECT,"Box Hill Institute","Bachelor of Early Childhood Education",0008BECE1,"Any date if enrolled prior to September 2021",National,Australia,"ACECQA assessed and approved this qualification on 30 September 2016."
ECT,"Box Hill Institute","Bachelor of Early Childhood Education",0008BECE1,"Any date if enrolled prior to November 2029",National,Australia,"ACECQA reassessed and reapproved this qualification on 4 October 2024"
"Certificate III","Bradford Community College","National Diploma in Nursery Nursing",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Bridgewater State College (Massachusetts)","Bachelor of Science Degree in Education",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Brisbane College of Advanced Education","Associate Diploma of Child Care",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Child Care'."
ECT,"Brisbane College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Diploma of Teaching (Primary and Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Diploma of Teaching (Primary and Preschool)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Diploma of Teaching (Primary) with specialisation in Early Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Graduate Diploma in Early Childhood Education",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Graduate Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane College of Advanced Education","Graduate Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Brisbane Kindergarten Teachers' College","Associate Diploma of Child Care",,"Any date before 1 January 2012",National,Australia,
ECT,"Brisbane Kindergarten Teachers' College","Diploma of Nursery - Kindergarten Teaching",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane Kindergarten Teachers' College","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane Kindergarten Teachers' College","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane Kindergarten Teachers' College","Diploma of Teaching (ECE) (0-8)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Brisbane Kindergarten Teachers' College","Diploma of the Brisbane Kindergarten Teachers' College",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Bulawayo Teachers Training College","Bachelor of Education (Early Childhood)",,"Any date before 1 January 2012",Queensland,Rhodesia,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Cairo University","Bachelor of Education (Kindergarten)",,"Any date before 1 January 2012",Queensland,Egypt,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"California State University","Bachelor of Arts in Child Development",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Cambrian College of Applied Arts and Technology","Early Childhood Education Diploma",,"Any date before 1 January 2012",Queensland,Canada,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Cambridge University","Diploma in Pre-school Practice",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Cambridge University","Diploma in Pre-school Practice",,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Canberra College of Advanced Education","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Canberra College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Canberra College of Advanced Education","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Canberra Institute of Technology","Associate Diploma of Health Science in Child Care",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Health Science in Child Care'. Canberra Institute of Technology was formerly known by a different name: ACT Institute of Technical and Further Education"
Diploma,"Canberra Institute of Technology","Associate Diploma of Social Science (Child Studies)",,"Any date before 1 January 2017",National,Australia,"Canberra Institute of Technology was formerly known by a different name: ACT Institute of Technical and Further Education"
Diploma,"Canberra Institute of Technology","Associate Diploma of Social Science in Child Care",,"Any date before 1 January 2012",National,Australia,"Canberra Institute of Technology was formerly known by a different name: ACT Institute of Technical and Further Education"
Diploma,"Cape Town College of Education","Higher Diploma in Education: Pre-Primary",,"Any date before 1 January 2012",Queensland,"South Africa","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Catholic Teacher Training College Wijlderbeek At Venlo","Nursery Schools Teacher's Diploma",,"Any date before 1 January 2012",Queensland,Netherlands,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Catholic Teachers' College","Diploma in Teaching (Infants)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Also known as 'Diploma in Infants Teaching' or Diploma in Teaching, transcript must show individual completed the infants or infants/primary stream. Catholic Teachers' College became Australian Catholic University in 1991."
Diploma,"Central College of Childhood Education and Community Services","Diploma of Child Care",,"Any date before 1 January 2017",National,Australia,
"Certificate III","Central West Community College","Certificate III in Child Care - Home Based",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Central West Community College","Certificate in Child Care (Home-based Care)",,"Any date before 1 January 2012",National,Australia,
"Certificate III","Centro De Formacion Technica,Itesa, La Serena","Child Care Assistant III",,"Any date before 1 January 2012",Queensland,Chile,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Charles Darwin University","Diploma of Education (Child Care)",,"Any date before 1 January 2017",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
Diploma,"Charles Darwin University","Associate Diploma of Child Care Studies",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Child Care Studies'. Charles Darwin University was formerly known by a different name: Northern Territory University"
Diploma,"Charles Darwin University","Associate Diploma of Education (Child Care)",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Education (Child Care)'. Charles Darwin University was formerly known by a different name: Northern Territory University"
Diploma,"Charles Darwin University","Associate Diploma of Education (Child Care)",,"Any date before 1 January 2012",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
Diploma,"Charles Darwin University","Associate Diploma of Education (Early Childhood)",,"Any date before 1 January 2012",National,Australia,"Also known as 'Associate Diploma in Education (Early Childhood)'. Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Children's Services",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Early Childhood Learning",BECL,"Any date if enrolled prior to 1 January 2017",National,Australia,
Diploma,"Charles Darwin University","Diploma of Children's Services (Early Childhood Education and Care)",CHC50908,"Any date before 1 January 2017",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2017",National,Australia,"The qualification parchment and transcripts may list the awarding institution as 'Batchelor Institute of Indigenous Tertiary Education' Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Education (Preservice)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2017",National,Australia,"The qualification parchment and transcripts may list the awarding institution as 'Batchelor Institute of Indigenous Tertiary Education' Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Teaching (Primary and Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Bachelor of Teaching and Learning (Early Childhood)",BTLEC,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Charles Darwin University","Bachelor of Teaching and Learning (Pre-service)",BTLP,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Charles Darwin University","Bachelor of Teaching and Learning In-service (Early Childhood)",BTLIEC,"Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Charles Darwin University","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Diploma of Teaching (Primary/E.C.E.)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Darwin University was formerly known by a different name: Northern Territory University"
ECT,"Charles Darwin University","Graduate Diploma in Teaching and Learning",GDTL,"Any date if enrolled prior to 1 January 2012",National,Australia,"Qualification must be completed in the early childhood stream. Program offered from 2007 to 2011."
ECT,"Charles Darwin University","Bachelor of Education Early Childhood Teaching",BEDEC,"Any date if enrolled prior to February 2021",National,Australia,"ACECQA assessed and approved this qualification on 10 February 2016."
ECT,"Charles Darwin University","Bachelor of Education (Graduate Entry)",BEDGE,"Any date if enrolled prior to February 2021",National,Australia,"ACECQA assessed and approved this qualification on 10 February 2016. Transcript must show individual completed the Early Childhood and Primary Teaching specialisation stream."
ECT,"Charles Darwin University","Master of Teaching",STCH01,"Any date if enrolled prior to January 2023",National,Australia,"ACECQA assessed and approved this qualification on 6 September 2017. Transcript must show individual completed the Early Childhood and Primary specialisation stream."
ECT,"Charles Darwin University","Bachelor of Education in Early Childhood Teaching (Birth - 12 Years)",WEDEC1,"Any date if enrolled prior to August 2025",National,Australia,"ACECQA assessed and approved this qualification on 7 July 2020."
ECT,"Charles Darwin University","Master of Teaching Early Childhood",STCHE1,"Any date if enrolled prior to February 2028",National,Australia,"ACECQA assessed and approved this qualification on 31 January 2023."
ECT,"Charles Darwin University","Master of Teaching Birth to Five Years",STCHB1,"Any date if enrolled prior to January 2029",National,Australia,"ACECQA assessed and approved this qualification on 31 May 2023."
ECT,"Charles Darwin University","Bachelor of Education Birth to 5 Years",WEDB01,"Any date if enrolled prior to February 2030",National,Australia,"ACECQA assessed and approved this qualification on 23 January 2025."
ECT,"Charles Darwin University","Bachelor of Education Early Childhood and Primary",WEDEC2,"Any date if enrolled prior to February 2030",National,Australia,"ACECQA assessed and approved this qualification on 28 January 2025."
ECT,"Charles Sturt University","Bachelor of Early Childhood Teaching (Birth to Five Years) / Bachelor of Nursing",3405EN,"Any date if enrolled prior to 1 January 2017",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Bachelor of Early Childhood Teaching (Birth to Five Years)/Bachelor of Speech and Hearing Services",3405ES,"Any date if enrolled prior to 1 January 2017",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Bachelor of Education (Early Childhood and Primary)","3408EP / 3414EP / 3416EP","Any date if enrolled prior to May 2019",National,Australia,"ACECQA reassessed and reapproved this qualification on 10 December 2013."
ECT,"Charles Sturt University","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Bachelor of Teaching (Birth to Five Years)","3412EC / 3400EC","Any date if enrolled prior to 1 January 2017",National,Australia,
ECT,"Charles Sturt University","Bachelor of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Bachelor of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Diploma of Teaching (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Bachelor of Education (Birth to Five Years)",3409BC,"Any date if enrolled prior to February 2023",National,Australia,"ACECQA reassessed and reapproved this qualification on 31 January 2017."
ECT,"Charles Sturt University","Bachelor of Education (Early Childhood/Primary)",3405EP,"Any date if enrolled prior to 1 January 2012",National,Australia,"Charles Sturt University was formerly known by a different name: Mitchell College of Advanced Education OR Riverina College of Advanced Education OR Riverina-Murray Institute of Higher Education"
ECT,"Charles Sturt University","Bachelor of Education (Early Childhood and Primary)",1420CP,"Any date if enrolled prior to September 2025",National,Australia,"ACECQA assessed and approved this qualification on 26 August 2019."
ECT,"Charles Sturt University","Bachelor of Education (Birth to Five Years)",3409BC,"Any date if enrolled prior to February 2028",National,Australia,"ACECQA reassessed and reapproved this qualification on 31 January 2023."
ECT,"Charles Sturt University","Bachelor of Education (Early Childhood and Primary)",1426CP,"Any date if enrolled prior to May 2031",National,Australia,"ACECQA reassessed and reapproved this qualification on 6 May 2026."
Diploma,"Charlton Brown Nanny College","Diploma of Early Childhood Education",,"Any date before 1 January 2017",National,Australia,
Diploma,"Chestnut Hill College, Philadelphia","Bachelor of Social Science (Early Childhood Education major)",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Chisholm Institute of Technology","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
ECT,"Chisholm Institute of Technology","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Christchurch College of Education","Bachelor of Teaching and Learning (Early Childhood)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Christchurch College of Education","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Christchurch College of Education","Diploma of Teaching and Learning (Early Childhood Programmes)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Christchurch College of Education","Graduate Diploma of Teaching and Learning (Early Childhood)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Christian Heritage College","Bachelor of Education (Early Childhood)",,"Any date if enrolled prior to 1 January 2017",National,Australia,
Diploma,"Chrysalis Consultancy","Diploma of Teaching (Early Childhood Education)",,"Any date before 1 January 2012",Queensland,"New Zealand","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Chulalongkorn University","Bachelor of Early Childhood Education",,"Any date before 1 January 2012",Queensland,Thailand,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Chulalongkorn University","Master of Education in Early Childhood Education",,"Any date before 1 January 2012",Queensland,Thailand,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Chung Hwa College of Medical Technology","Junior College Program-Early Childhood Caring and Education",,"Any date before 1 January 2012",Queensland,Taiwan,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Churchlands College of Advanced Education","Diploma of Teaching (Early Childhood Education)",,"Any date if enrolled prior to 1 January 2012",National,Australia,"Also known as 'Diploma in Teaching (Early Childhood Education)'"
ECT,"CIHE Australia","Bachelor of Education ((Early Childhood) (Birth to Five))","FOE 070101","Any date if enrolled prior to January 2030",National,Australia,"ACECQA assessed and approved this qualification on 19 December 2024.CIHE Australia is also known as Crown Institute of Higher Education."
ECT,"CIHE Australia","Graduate Diploma in Education ((Early Childhood) (Birth to 5 years old))","GDEEC 0-5","Any date if enrolled prior to May 2030",National,Australia,"ACECQA assessed and approved this qualification on 3 April 2025.CIHE Australia is also known as Crown Institute of Higher Education."
ECT,"CIHE Australia","Master of Teaching ((Early Childhood) (Birth to Five))",MT-ECE,"Any date if enrolled prior to July 2030",National,Australia,"ACECQA assessed and approved this qualification on 4 July 2025.CIHE Australia is also known as Crown Institute of Higher Education."
"Certificate III","City & Guilds","Level 2 NVQ in Children's Care, Learning and Development",100/5512/5,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Certificate III qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"City & Guilds","Level 3 NVQ in Children's Care, Learning and Development",100/5513/7,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"City & Guilds","Level 3 NVQ in Early Years Care and Education",Q1050010,"Any date before 1 January 2012",Queensland,"United Kingdom","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
ECT,"Coburg Teachers' College","Trained Infant Teachers' Certificate",,"Any date if enrolled prior to 1 January 2012",National,Australia,
Diploma,"Colegio de la Immaculada Concepcion","Bachelor of Elementary Education (with specialisation in Pre-Elementary Education)",,"Any date before 1 January 2012",Queensland,Philippines,"This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"College of Cape Town","National Certificate (Educare) Levels 4-6",,"Any date before 1 January 2012",Queensland,"South Africa","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
Diploma,"Colleges of Advanced Education","Associate Diploma of Child Care",,"Any date before 1 January 2012",National,Australia,
Diploma,"Community College of Aurora","Associate degree of Applied Science Early Childhood Profession",,"Any date before 1 January 2012",Queensland,"United States of America","This qualification was previously assessed by the Queensland Government as being the equivalent to a Diploma qualification. Individuals seeking to work outside Queensland (or graduated after 1 January 2012) may still be eligible for recognition as a qualified educator if they apply to ACECQA for an assessment of equivalence."
